order_id,item_id,quantity,price,added_ingredients,removed_ingredients
1,6,2,12.99,"onions,olives",
2,12,3,22.99,,onions
2,7,1,8.99,,onions
3,20,3,9.99,peppers,"olives,mushrooms"
3,10,3,14.99,"peppers,cheese",peppers
4,8,1,9.99,,cheese
5,7,3,8.99,,"mushrooms,peppers"
5,15,3,6.99,"onions,cheese","peppers,mushrooms"
5,6,2,12.99,onions,
6,1,1,15.99,"cheese,onions","peppers,onions"
6,9,3,16.99,mushrooms,
7,6,1,12.99,,
7,20,2,9.99,,
8,4,3,14.99,onions,"onions,cheese"
9,4,1,14.99,"olives,mushrooms","cheese,olives"
9,18,3,8.99,cheese,
10,2,2,17.99,"onions,cheese",
11,5,2,13.99,,mushrooms
11,2,2,17.99,peppers,"cheese,peppers"
12,13,1,11.99,,onions
12,12,2,22.99,olives,"olives,peppers"
12,13,3,11.99,,"cheese,olives"
13,18,2,8.99,"peppers,olives","onions,mushrooms"
13,14,1,9.99,,
14,13,1,11.99,,"cheese,peppers"
15,6,1,12.99,"mushrooms,peppers","mushrooms,cheese"
15,1,2,15.99,,
15,1,3,15.99,onions,mushrooms
16,11,3,18.99,"cheese,olives","peppers,mushrooms"
17,5,2,13.99,,"mushrooms,onions"
18,18,1,8.99,"cheese,onions",olives
19,12,3,22.99,"olives,peppers","onions,olives"
20,8,3,9.99,,peppers
20,6,1,12.99,cheese,mushrooms
21,4,3,14.99,onions,"olives,cheese"
22,10,3,14.99,olives,
22,17,2,10.99,,onions
23,1,1,15.99,onions,
24,14,3,9.99,mushrooms,
24,6,1,12.99,,"mushrooms,onions"
25,12,3,22.99,,peppers
25,11,2,18.99,,mushrooms
26,15,2,6.99,,
26,10,1,14.99,mushrooms,"cheese,olives"
26,7,2,8.99,,onions
27,8,1,9.99,cheese,olives
27,4,3,14.99,olives,"onions,peppers"
28,10,1,14.99,olives,"cheese,onions"
28,1,3,15.99,peppers,
29,18,1,8.99,"peppers,olives","cheese,mushrooms"
29,4,1,14.99,"olives,mushrooms",peppers
29,1,2,15.99,,
30,7,1,8.99,"olives,mushrooms",
30,4,2,14.99,,
30,3,1,12.99,cheese,cheese
31,12,1,22.99,"cheese,onions",peppers
31,4,1,14.99,olives,
32,9,3,16.99,,
33,2,1,17.99,,olives
33,19,2,28.99,"olives,mushrooms",
34,1,1,15.99,cheese,"peppers,mushrooms"
34,13,2,11.99,olives,
35,19,2,28.99,"onions,cheese",
36,17,1,10.99,,"olives,cheese"
36,2,1,17.99,,
36,12,1,22.99,onions,peppers
36,19,3,28.99,olives,cheese
37,4,3,14.99,"olives,peppers",
37,20,1,9.99,,onions
37,10,2,14.99,,
38,18,2,8.99,mushrooms,"olives,peppers"
38,11,1,18.99,"peppers,onions",mushrooms
38,18,2,8.99,peppers,"peppers,cheese"
39,20,1,9.99,onions,peppers
39,10,1,14.99,peppers,mushrooms
39,1,1,15.99,cheese,
39,20,2,9.99,onions,"peppers,mushrooms"
40,20,3,9.99,"onions,peppers",onions
40,20,3,9.99,,peppers
41,7,2,8.99,olives,
41,17,3,10.99,olives,olives
41,15,2,6.99,,
42,10,1,14.99,"cheese,onions",
43,19,1,28.99,cheese,"mushrooms,onions"
44,3,1,12.99,,
44,20,3,9.99,"mushrooms,cheese","olives,onions"
44,16,1,3.99,"onions,peppers","olives,mushrooms"
44,11,1,18.99,"mushrooms,cheese","peppers,cheese"
45,13,1,11.99,"olives,peppers",
46,10,2,14.99,,
47,10,1,14.99,"onions,mushrooms",
48,18,2,8.99,"cheese,onions","cheese,mushrooms"
48,3,3,12.99,"mushrooms,peppers",
48,10,2,14.99,cheese,peppers
49,12,3,22.99,onions,
50,7,3,8.99,,"olives,peppers"
51,11,3,18.99,,
51,3,2,12.99,,mushrooms
51,7,3,8.99,"onions,mushrooms",onions
51,13,1,11.99,"cheese,mushrooms",olives
52,10,2,14.99,"cheese,olives","mushrooms,peppers"
53,5,2,13.99,,cheese
54,10,3,14.99,"onions,olives",mushrooms
54,10,1,14.99,,"peppers,cheese"
54,15,2,6.99,,"mushrooms,peppers"
55,6,3,12.99,"olives,onions",
56,1,3,15.99,mushrooms,"onions,cheese"
56,18,2,8.99,mushrooms,"onions,olives"
57,16,3,3.99,,
57,18,3,8.99,"peppers,onions",
57,14,2,9.99,olives,olives
58,13,1,11.99,"peppers,mushrooms","onions,olives"
59,2,1,17.99,mushrooms,"mushrooms,cheese"
60,1,2,15.99,,"mushrooms,olives"
60,18,1,8.99,peppers,"onions,cheese"
60,13,3,11.99,onions,"onions,peppers"
61,5,1,13.99,onions,mushrooms
61,5,2,13.99,olives,olives
61,2,3,17.99,mushrooms,"cheese,onions"
61,3,3,12.99,"mushrooms,olives",olives
62,6,3,12.99,,
62,1,1,15.99,"cheese,olives","cheese,peppers"
62,15,2,6.99,"peppers,onions",mushrooms
63,19,2,28.99,,"onions,olives"
63,19,1,28.99,,
63,19,1,28.99,"onions,cheese","onions,mushrooms"
63,6,1,12.99,"peppers,cheese",
64,20,2,9.99,"onions,peppers",onions
64,6,1,12.99,,
64,20,1,9.99,"peppers,onions","cheese,mushrooms"
65,10,3,14.99,,cheese
65,19,1,28.99,"olives,mushrooms",
65,17,1,10.99,"cheese,peppers",olives
66,13,1,11.99,,
67,7,2,8.99,,"olives,cheese"
67,8,3,9.99,,onions
67,12,1,22.99,onions,
67,12,3,22.99,mushrooms,onions
68,20,3,9.99,,mushrooms
68,17,1,10.99,onions,
68,2,1,17.99,peppers,
68,19,1,28.99,"mushrooms,onions",
69,2,2,17.99,,
70,15,1,6.99,,
70,4,3,14.99,,cheese
70,16,1,3.99,onions,
70,15,3,6.99,"onions,mushrooms",peppers
71,12,3,22.99,peppers,"onions,cheese"
71,7,2,8.99,,"mushrooms,peppers"
71,6,2,12.99,"olives,peppers","olives,peppers"
71,17,3,10.99,mushrooms,"peppers,cheese"
72,3,2,12.99,cheese,peppers
73,12,2,22.99,,"cheese,mushrooms"
73,12,2,22.99,"cheese,peppers",olives
73,16,2,3.99,cheese,"onions,olives"
73,14,2,9.99,"olives,onions",olives
74,3,2,12.99,,mushrooms
75,19,2,28.99,peppers,"mushrooms,cheese"
75,6,2,12.99,"cheese,olives",olives
75,15,2,6.99,,
76,12,3,22.99,"olives,mushrooms","olives,onions"
77,1,3,15.99,,"cheese,onions"
77,15,1,6.99,"cheese,peppers",
77,15,2,6.99,cheese,
77,11,1,18.99,,"olives,onions"
78,18,1,8.99,olives,olives
78,13,1,11.99,mushrooms,"peppers,cheese"
78,2,3,17.99,onions,"onions,olives"
78,4,1,14.99,,"mushrooms,onions"
79,2,3,17.99,,
79,13,1,11.99,,
79,18,1,8.99,peppers,
80,7,1,8.99,mushrooms,peppers
80,8,1,9.99,peppers,
80,5,3,13.99,,cheese
80,5,2,13.99,olives,olives
81,6,2,12.99,cheese,
82,10,3,14.99,,"mushrooms,onions"
82,4,2,14.99,,"mushrooms,peppers"
82,12,3,22.99,,
82,10,3,14.99,peppers,peppers
83,15,2,6.99,,"onions,cheese"
83,15,1,6.99,,"cheese,olives"
83,9,2,16.99,,"mushrooms,peppers"
83,19,3,28.99,"onions,olives",onions
84,17,1,10.99,"mushrooms,cheese","peppers,olives"
84,18,1,8.99,cheese,"olives,peppers"
84,1,2,15.99,"olives,cheese","onions,peppers"
84,5,1,13.99,mushrooms,"onions,mushrooms"
85,1,2,15.99,mushrooms,
86,9,1,16.99,olives,"mushrooms,peppers"
86,12,2,22.99,"peppers,cheese",
87,11,3,18.99,"mushrooms,peppers","olives,cheese"
88,12,1,22.99,"olives,mushrooms",
88,9,1,16.99,"mushrooms,olives",mushrooms
88,8,2,9.99,,
89,16,2,3.99,"olives,mushrooms",cheese
89,17,1,10.99,"onions,cheese",peppers
90,7,1,8.99,"cheese,mushrooms",olives
90,7,2,8.99,"mushrooms,olives","onions,peppers"
90,3,2,12.99,,
91,7,3,8.99,,onions
91,16,1,3.99,"olives,mushrooms","cheese,onions"
92,1,2,15.99,"olives,mushrooms","olives,peppers"
92,6,1,12.99,"peppers,olives",peppers
92,9,3,16.99,"cheese,olives",
93,16,1,3.99,mushrooms,"peppers,onions"
94,3,1,12.99,"mushrooms,cheese","cheese,peppers"
94,11,3,18.99,onions,cheese
94,16,3,3.99,"peppers,onions",
95,1,1,15.99,olives,peppers
95,19,2,28.99,,"onions,cheese"
95,18,2,8.99,,
95,6,3,12.99,,"olives,onions"
96,14,2,9.99,cheese,"peppers,olives"
96,4,1,14.99,,"onions,olives"
97,20,2,9.99,"peppers,olives","peppers,mushrooms"
97,17,1,10.99,,
97,7,1,8.99,"mushrooms,cheese","olives,peppers"
97,9,3,16.99,,olives
98,16,3,3.99,onions,"cheese,onions"
98,7,3,8.99,olives,peppers
99,5,3,13.99,peppers,"mushrooms,peppers"
99,20,2,9.99,,
100,8,2,9.99,,"cheese,peppers"
100,20,2,9.99,"cheese,olives",peppers
100,15,2,6.99,,onions
100,16,3,3.99,,
